"Chamber Name","Chamber URL","Address","Phone Number"
"Lewisporte & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/lewisporte-area-chamber-of-commerce-25","","+17095412502"
"Chaleur Chamber of Commerce","https://www.atlanticchamber.ca/list/member/chaleur-chamber-of-commerce-58","270 Douglas Avenue, Suite 500 Bathurst NB E2A 1M9","+15065488498"
"Deer Island Chamber of Commerce","https://www.atlanticchamber.ca/list/member/deer-island-chamber-of-commerce-242","C/O General Delivery 190 Route 772 Lambertville NB E5V 1J5","+15067471182"
"Sussex & District Chamber of Commerce","https://www.atlanticchamber.ca/list/member/sussex-district-chamber-of-commerce-74","27 Winter St Sussex NB E4E2H9","+15064331845"
"Greater Woodstock Chamber of Commerce","https://www.atlanticchamber.ca/list/member/greater-woodstock-chamber-of-commerce-62","PO Box 4264 Woodstock NB E7M 6B7","+15063259049"
"Greater Charlottetown Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/greater-charlottetown-area-chamber-of-commerce-3","134 Kent Street Suite 230 Charlottetown PE C1A 7K2","+19026282000"
"Chambre de Commerce Régionale de Kedgwick Inc.","https://www.atlanticchamber.ca/list/member/chambre-de-commerce-régionale-de-kedgwick-inc-50","114 C, rue Notre-Dame Kedgwick NB E8B 1H8","+15062843304"
"Lunenburg Board of Trade","https://www.atlanticchamber.ca/list/member/lunenburg-board-of-trade-lunenburg-88","11 Blockhouse Hill Road Lunenburg NS B0J 2C0","+19026343170"
"Truro & Colchester Chamber of Commerce","https://www.atlanticchamber.ca/list/member/truro-colchester-chamber-of-commerce-102","105B Walker St. Truro NS B2N 4B1","+19028956328"
"Barrington & Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/barrington-area-chamber-of-commerce-79","Box 1 Comp 7 Barrington NS B0W 1E0","+19026377199"
"Arnold's Cove Area Chamber of Commerce","https://www.atlanticchamber.ca/list/member/arnold-s-cove-area-chamber-of-commerce-arnold-s-cove-9","PO Box 411 Arnold's Cove NF A0B 1A0","+17094630028"
